"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun May 31 04:32:25 UTC 2026","Sun May 31 04:32:25 UTC 2026","0","Surefire suite","Surefire test","tests.WebViewTest","tests.WebViewTest","cargarUrlYVerificarContextos","cargarUrlYVerificarContextos",""
"skipped","Sun May 31 04:40:36 UTC 2026","Sun May 31 04:40:36 UTC 2026","0","Surefire suite","Surefire test","tests.ProductDetailTest","tests.ProductDetailTest","verificarDetalleProducto","verificarDetalleProducto",""
"skipped","Sun May 31 04:34:01 UTC 2026","Sun May 31 04:34:01 UTC 2026","0","Surefire suite","Surefire test","tests.LifecycleTest","tests.LifecycleTest","appEnBackground","appEnBackground",""
"skipped","Sun May 31 04:35:40 UTC 2026","Sun May 31 04:35:40 UTC 2026","0","Surefire suite","Surefire test","tests.CartTest","tests.CartTest","eliminarProductoDelCarrito","eliminarProductoDelCarrito",""
"skipped","Sun May 31 04:39:04 UTC 2026","Sun May 31 04:39:04 UTC 2026","0","Surefire suite","Surefire test","tests.GestosTest","tests.GestosTest","dibujarYGuardar","dibujarYGuardar",""
"skipped","Sun May 31 04:29:43 UTC 2026","Sun May 31 04:29:43 UTC 2026","1","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","verificarTituloIncorrecto_falloIntencional","verificarTituloIncorrecto_falloIntencional",""
"skipped","Sun May 31 04:29:43 UTC 2026","Sun May 31 04:29:43 UTC 2026","0","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","scrollHastaProducto","scrollHastaProducto",""
"skipped","Sun May 31 04:32:25 UTC 2026","Sun May 31 04:32:25 UTC 2026","1","Surefire suite","Surefire test","tests.WebViewTest","tests.WebViewTest","loginExitosoEnWebView","loginExitosoEnWebView",""
"skipped","Sun May 31 04:34:01 UTC 2026","Sun May 31 04:34:01 UTC 2026","0","Surefire suite","Surefire test","tests.LifecycleTest","tests.LifecycleTest","terminateYReactivar","terminateYReactivar",""
"skipped","Sun May 31 04:37:13 UTC 2026","Sun May 31 04:37:13 UTC 2026","0","Surefire suite","Surefire test","tests.CheckoutTest","tests.CheckoutTest","continuarComprandoVuelveAProducts","continuarComprandoVuelveAProducts",""
"broken","Sun May 31 04:29:43 UTC 2026","Sun May 31 04:29:43 UTC 2026","1","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","setUp","setUp",""
"broken","Sun May 31 04:34:01 UTC 2026","Sun May 31 04:34:01 UTC 2026","0","Surefire suite","Surefire test","tests.LifecycleTest","tests.LifecycleTest","setUp","setUp",""
"skipped","Sun May 31 04:29:43 UTC 2026","Sun May 31 04:29:43 UTC 2026","1","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginConCredencialesInvalidas","loginConCredencialesInvalidas",""
"skipped","Sun May 31 04:35:40 UTC 2026","Sun May 31 04:35:40 UTC 2026","0","Surefire suite","Surefire test","tests.CartTest","tests.CartTest","verificarProductoEnCarrito","verificarProductoEnCarrito",""
"broken","Sun May 31 04:32:25 UTC 2026","Sun May 31 04:32:25 UTC 2026","0","Surefire suite","Surefire test","tests.WebViewTest","tests.WebViewTest","setUp","setUp",""
"skipped","Sun May 31 04:39:04 UTC 2026","Sun May 31 04:39:04 UTC 2026","0","Surefire suite","Surefire test","tests.GestosTest","tests.GestosTest","dibujarLimpiarYGuardar","dibujarLimpiarYGuardar",""
"skipped","Sun May 31 04:32:25 UTC 2026","Sun May 31 04:32:25 UTC 2026","0","Surefire suite","Surefire test","tests.WebViewTest","tests.WebViewTest","loginFallidoEnWebView","loginFallidoEnWebView",""
"skipped","Sun May 31 04:32:25 UTC 2026","Sun May 31 04:32:25 UTC 2026","0","Surefire suite","Surefire test","tests.WebViewTest","tests.WebViewTest","switchAWebViewYVerificarTitulo","switchAWebViewYVerificarTitulo",""
"skipped","Sun May 31 04:40:36 UTC 2026","Sun May 31 04:40:36 UTC 2026","0","Surefire suite","Surefire test","tests.ProductDetailTest","tests.ProductDetailTest","agregarAlCarrito","agregarAlCarrito",""
"skipped","Sun May 31 04:32:25 UTC 2026","Sun May 31 04:32:25 UTC 2026","1","Surefire suite","Surefire test","tests.WebViewTest","tests.WebViewTest","loginExitosoEnWebView","loginExitosoEnWebView",""
"skipped","Sun May 31 04:37:13 UTC 2026","Sun May 31 04:37:13 UTC 2026","0","Surefire suite","Surefire test","tests.CheckoutTest","tests.CheckoutTest","checkoutCompleto","checkoutCompleto",""
"skipped","Sun May 31 04:37:13 UTC 2026","Sun May 31 04:37:13 UTC 2026","0","Surefire suite","Surefire test","tests.CheckoutTest","tests.CheckoutTest","verificarDatosEnReview","verificarDatosEnReview",""
"skipped","Sun May 31 04:40:36 UTC 2026","Sun May 31 04:40:36 UTC 2026","0","Surefire suite","Surefire test","tests.ProductDetailTest","tests.ProductDetailTest","verificarDetalleProducto","verificarDetalleProducto",""
"skipped","Sun May 31 04:40:36 UTC 2026","Sun May 31 04:40:36 UTC 2026","1","Surefire suite","Surefire test","tests.ProductDetailTest","tests.ProductDetailTest","verificarDetalleProducto","verificarDetalleProducto",""
"broken","Sun May 31 04:30:54 UTC 2026","Sun May 31 04:30:54 UTC 2026","0","Surefire suite","Surefire test","tests.PermisosTest","tests.PermisosTest","setUp","setUp",""
"broken","Sun May 31 04:40:36 UTC 2026","Sun May 31 04:40:36 UTC 2026","0","Surefire suite","Surefire test","tests.ProductDetailTest","tests.ProductDetailTest","setUp","setUp",""
"skipped","Sun May 31 04:30:54 UTC 2026","Sun May 31 04:30:54 UTC 2026","0","Surefire suite","Surefire test","tests.PermisosTest","tests.PermisosTest","startStopObserving","startStopObserving",""
"skipped","Sun May 31 04:29:43 UTC 2026","Sun May 31 04:29:43 UTC 2026","0","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginExitoso","loginExitoso",""
"skipped","Sun May 31 04:30:54 UTC 2026","Sun May 31 04:30:54 UTC 2026","1","Surefire suite","Surefire test","tests.PermisosTest","tests.PermisosTest","navegarAQRScanner","navegarAQRScanner",""
"skipped","Sun May 31 04:29:43 UTC 2026","Sun May 31 04:29:43 UTC 2026","0","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginConCredencialesInvalidas","loginConCredencialesInvalidas",""
"skipped","Sun May 31 04:29:43 UTC 2026","Sun May 31 04:29:43 UTC 2026","2","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginConClearYReingreso","loginConClearYReingreso",""
"skipped","Sun May 31 04:30:54 UTC 2026","Sun May 31 04:30:54 UTC 2026","0","Surefire suite","Surefire test","tests.PermisosTest","tests.PermisosTest","verificarCoordenadasGeoLocation","verificarCoordenadasGeoLocation",""
"broken","Sun May 31 04:37:13 UTC 2026","Sun May 31 04:37:13 UTC 2026","0","Surefire suite","Surefire test","tests.CheckoutTest","tests.CheckoutTest","setUp","setUp",""
"skipped","Sun May 31 04:35:39 UTC 2026","Sun May 31 04:35:39 UTC 2026","1","Surefire suite","Surefire test","tests.CartTest","tests.CartTest","agregarDosProductosDistintos","agregarDosProductosDistintos",""
"skipped","Sun May 31 04:32:25 UTC 2026","Sun May 31 04:32:25 UTC 2026","0","Surefire suite","Surefire test","tests.WebViewTest","tests.WebViewTest","loginFallidoEnWebView","loginFallidoEnWebView",""
"broken","Sun May 31 04:39:04 UTC 2026","Sun May 31 04:39:04 UTC 2026","0","Surefire suite","Surefire test","tests.GestosTest","tests.GestosTest","setUp","setUp",""
"skipped","Sun May 31 04:39:04 UTC 2026","Sun May 31 04:39:04 UTC 2026","0","Surefire suite","Surefire test","tests.GestosTest","tests.GestosTest","navegarADrawing","navegarADrawing",""
"skipped","Sun May 31 04:40:36 UTC 2026","Sun May 31 04:40:36 UTC 2026","1","Surefire suite","Surefire test","tests.ProductDetailTest","tests.ProductDetailTest","modificarCantidad","modificarCantidad",""
"skipped","Sun May 31 04:32:25 UTC 2026","Sun May 31 04:32:25 UTC 2026","0","Surefire suite","Surefire test","tests.WebViewTest","tests.WebViewTest","navegarAWebView","navegarAWebView",""
"skipped","Sun May 31 04:40:36 UTC 2026","Sun May 31 04:40:36 UTC 2026","0","Surefire suite","Surefire test","tests.ProductDetailTest","tests.ProductDetailTest","seleccionarColor","seleccionarColor",""
"skipped","Sun May 31 04:37:13 UTC 2026","Sun May 31 04:37:13 UTC 2026","1","Surefire suite","Surefire test","tests.CheckoutTest","tests.CheckoutTest","verificarCheckoutComplete","verificarCheckoutComplete",""
"skipped","Sun May 31 04:29:43 UTC 2026","Sun May 31 04:29:43 UTC 2026","1","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginConCredencialesInvalidas","loginConCredencialesInvalidas",""
"skipped","Sun May 31 04:35:40 UTC 2026","Sun May 31 04:35:40 UTC 2026","0","Surefire suite","Surefire test","tests.CartTest","tests.CartTest","verificarCantidadMultipleEnCarrito","verificarCantidadMultipleEnCarrito",""
"broken","Sun May 31 04:35:39 UTC 2026","Sun May 31 04:35:39 UTC 2026","0","Surefire suite","Surefire test","tests.CartTest","tests.CartTest","setUp","setUp",""
"skipped","Sun May 31 04:30:54 UTC 2026","Sun May 31 04:30:54 UTC 2026","0","Surefire suite","Surefire test","tests.PermisosTest","tests.PermisosTest","navegarAGeoLocation","navegarAGeoLocation",""
